SKU;Descripcion
40054627;Válvula Globo PPR 20mm
40022009;TIJERAS CORTATUBO HASTA 32
40052113;CONEX HEX POLIPRO EPDM2
40054513;COPLE DE 75 mm
40054648;CARTUCHO HYDRO-NET FILTRO JUMBO
40022006;DADOS M H DE 32 MM
40022045;MULTICONECT VALV-TUERCAUNIONINTEG
40025302;CISTERNA 10000 LTS S/ EQUIPO
40034592;COPLE DE 110 MM
40028470;SIST GAR DE POR VIDA 2500L
40034593;TAPÓN DE 110 MM
40035073;BEBEDERO 1000LTS STD NEGRO
40052406;"CONEXION HEXAGONAL POLIPRO VITON 1 1/2"""
40026010;CISTERNA 5000 LTS EQUIPADA
40027913;BIODIGES AUTOLIMPIABLE 1300LTS
40034590;CODO 90º DE 110 MM
40040000;BOMBA CENTRIFUGA DE 1 HP
40054254;CODO 45º DE 75 mm
40054258;CODO 90º DE 75 mm
40054531;DADOS M-H DE 40 mm
40054672;BOMBA  PERIFERICA DE 1/2 HP
40054708;TNH - 4000 REF. 40% NEUTRO
40054747;TAN - 2500 REF. 40% NEUTRO
