SKU;Descripcion;TIPO
40054496;"CODO M-H 90º DE 25 mm";"ESTANDAR"
40028072;"FILTRO ESTANDAR C/1 CARTUCHO";"ESTANDAR"
40022051;"ELECTRONIVEL 2 MTS";"ESTANDAR"
40054504;"CONECTOR MACHO 20 x 3/4""";"ESTANDAR"
40026763;"VALVULA ESFERA PPR 32MM";"ESTANDAR"
40054524;"CURVA 90º DE 20 mm";"ESTANDAR"
40021986;"TERMOFUSOR 600W CON ACCESORIOS";"ESTANDAR"
40027924;"BASE 1100";"ESTANDAR"
40054494;"CODO M-H 45º DE 32 mm";"ESTANDAR"
40054563;"REDUCCIÓN 40 x 25 mm";"ESTANDAR"
40054497;"CONECTOR HEMBRA 20 x 3/4""";"ESTANDAR"
40054523;"CRUZ DE 20 mm";"ESTANDAR"
40025063;"TINACO 600LTS TRICAPA C/ACC.";"ESTANDAR"
40027911;"TINACO HORIZONTAL HE 1100L";"ESTANDAR"
40027923;"BOMBA CENTRIFUGA DE 1/2 HP";"ESTANDAR"
40054525;"CURVA 90º DE 25 mm";"ESTANDAR"
40028471;"SIST GARANT DE POR VID HO 1100L";"ESTANDAR"
40054495;"CODO M-H 90º DE 20 mm";"ESTANDAR"
40054526;"CURVA 90º DE 32 mm";"ESTANDAR"
40022043;"CISTERNA 2800 LTS EQUIPADA";"ESTANDAR"
40022044;"CISTERNA 1200 LTS C/BOMBA";"ESTANDAR"
40024165;"TERMOFUSOR 600W CON ACC. PROMO";"ESTANDAR"
40026351;"LLAV DE EMPOTRAR P REG DE 20 MM";"ESTANDAR"
40025301;"CISTERNA 10000 LTS EQUIPADA";"ESTANDAR"
40027921;"FILTROPLAS FILTRO JUMBO";"ESTANDAR"
40025560;"BIODIGESTOR AUTOLIMPIAB 600LTS";"ESTANDAR"
40054498;"CONECTOR HEMBRA 40 x 1 1/4""";"ESTANDAR"
40054505;"CONECTOR MACHO 40 x 1 1/4""";"ESTANDAR"
40022017;"DADOS M H DE 20 MM";"ESTANDAR"
40026656;"TINACO BASICO 1100 LTS AZUL";"ESTANDAR"
40022016;"DADOS M H DE 25 MM";"ESTANDAR"
40054499;"CONECTOR HEMBRA 50 x 1 1/2""";"ESTANDAR"
40054506;"CONECTOR MACHO 50 x 1 1/2""";"ESTANDAR"
40054610;"VALVULA DE ESFERA  25  mm";"ESTANDAR"
40057064;"VALVULA ANGULAR FUSIONABLE";"ESTANDAR"
40046242;"ADAPTADOR DE VENTEO CON MALLA 12 DE 2""";"ESTANDAR"
40054255;"CODO 45º DE 90 mm";"ESTANDAR"
40054500;"CONECTOR HEMBRA 63 x 2""";"ESTANDAR"
40054507;"CONECTOR MACHO 63 x 2""";"ESTANDAR"
40034595;"CODO 45º DE 50 MM";"ESTANDAR"
40034597;"TEE DE 50 MM";"ESTANDAR"
40054627;"Válvula Globo PPR 20mm";"ESTANDAR"
40022009;"TIJERAS CORTATUBO HASTA 32";"ESTANDAR"
40052113;"CONEX HEX POLIPRO EPDM2";"ESTANDAR"
40054513;"COPLE DE 75 mm";"ESTANDAR"
40054648;"CARTUCHO HYDRO-NET FILTRO JUMBO";"ESTANDAR"
40022006;"DADOS M H DE 32 MM";"ESTANDAR"
40022045;"MULTICONECT VALV-TUERCAUNIONINTEG";"ESTANDAR"
40025302;"CISTERNA 10000 LTS S/ EQUIPO";"ESTANDAR"
40034592;"COPLE DE 110 MM";"ESTANDAR"
40028470;"SIST GAR DE POR VIDA 2500L";"ESTANDAR"
40034593;"TAPÓN DE 110 MM";"ESTANDAR"
40035073;"BEBEDERO 1000LTS STD NEGRO";"ESTANDAR"
40052406;"CONEXION HEXAGONAL POLIPRO VITON 1 1/2""";"ESTANDAR"
40026010;"CISTERNA 5000 LTS EQUIPADA";"ESTANDAR"
40027913;"BIODIGES AUTOLIMPIABLE 1300LTS";"ESTANDAR"
40034590;"CODO 90º DE 110 MM";"ESTANDAR"
40040000;"BOMBA CENTRIFUGA DE 1 HP";"ESTANDAR"
40054254;"CODO 45º DE 75 mm";"ESTANDAR"
40054258;"CODO 90º DE 75 mm";"ESTANDAR"
40054531;"DADOS M-H DE 40 mm";"ESTANDAR"
40054672;"BOMBA  PERIFERICA DE 1/2 HP";"ESTANDAR"
40054708;"TNH - 4000 REF. 40% NEUTRO";"ESTANDAR"
40054747;"TAN - 2500 REF. 40% NEUTRO";"ESTANDAR"
